dataset,variant,metric,mean
cmv,pegasus(slight),jaccard,0.884840292715028
cmv,pegasus(slight),recall,0.9012029088930258
cmv,pegasus(slight),precision,0.9570038236821847
cmv,pegasus(full),jaccard,0.5471308509004084
cmv,pegasus(full),recall,0.5865759491728847
cmv,pegasus(full),precision,0.8032037869107179
eli5,pegasus(slight),jaccard,0.8660146202916048
eli5,pegasus(slight),recall,0.8872065437577493
eli5,pegasus(slight),precision,0.9397601261684105
eli5,pegasus(full),jaccard,0.5097758849281423
eli5,pegasus(full),recall,0.5482644808232086
eli5,pegasus(full),precision,0.7398455706333951
sci_gen,pegasus(slight),jaccard,0.8758648959373454
sci_gen,pegasus(slight),recall,0.8930738888584039
sci_gen,pegasus(slight),precision,0.9604437426358172
sci_gen,pegasus(full),jaccard,0.4665586595731508
sci_gen,pegasus(full),recall,0.4997775306714225
sci_gen,pegasus(full),precision,0.7595103093751276
tldr,pegasus(slight),jaccard,0.8671957145844813
tldr,pegasus(slight),recall,0.8851690712361373
tldr,pegasus(slight),precision,0.9577641732751193
tldr,pegasus(full),jaccard,0.5108009818269637
tldr,pegasus(full),recall,0.5489722751528249
tldr,pegasus(full),precision,0.8004704237776428
wp,pegasus(slight),jaccard,0.8841093972696257
wp,pegasus(slight),recall,0.9077988738400387
wp,pegasus(slight),precision,0.9542824437317117
wp,pegasus(full),jaccard,0.5495392894393224
wp,pegasus(full),recall,0.6033415658359823
wp,pegasus(full),precision,0.7924477249588269
xsum,pegasus(slight),jaccard,0.8376924273068674
xsum,pegasus(slight),recall,0.8563676609528837
xsum,pegasus(slight),precision,0.9563337039667965
xsum,pegasus(full),jaccard,0.5211967497525194
xsum,pegasus(full),recall,0.5594867772074871
xsum,pegasus(full),precision,0.8478400793171375
yelp,pegasus(slight),jaccard,0.8786068965726204
yelp,pegasus(slight),recall,0.8971569290892436
yelp,pegasus(slight),precision,0.9501378758129195
yelp,pegasus(full),jaccard,0.5326314526181314
yelp,pegasus(full),recall,0.576036298020019
yelp,pegasus(full),precision,0.7635087553450212
